,alphas,vxs,Rs,paths,curve
33,0.777,-0.04248585814927249,0.38811005481448513,pathfollow_fftg001/N128s035a07770g001/x2.npz,0
34,0.778,-0.04253444288891959,0.387754316615166,pathfollow_fftg001/N128s035a07780g001/x2.npz,0
35,0.779,-0.042584516027284386,0.38740765611758066,pathfollow_fftg001/N128s035a07790g001/x2.npz,0
36,0.78,-0.04263594015330755,0.3870692506102139,pathfollow_fftg001/N128s035a07800g001/x2.npz,0
37,0.781,-0.042688633467404515,0.38673843728383844,pathfollow_fftg001/N128s035a07810g001/x2.npz,0
38,0.782,-0.04274255687737886,0.3864146848479313,pathfollow_fftg001/N128s035a07820g001/x2.npz,0
39,0.783,-0.04279770232985122,0.3860975680597946,pathfollow_fftg001/N128s035a07830g001/x2.npz,0
40,0.784,-0.04285408250780633,0.3857867453275985,pathfollow_fftg001/N128s035a07840g001/x2.npz,0
41,0.785,-0.04291172199189599,0.3854819394618238,pathfollow_fftg001/N128s035a07850g001/x2.npz,0
42,0.786,-0.0429706498999414,0.3851829214997369,pathfollow_fftg001/N128s035a07860g001/x2.npz,0
43,0.787,-0.04303089395422769,0.3848894974719573,pathfollow_fftg001/N128s035a07870g001/x2.npz,0
44,0.788,-0.04309247583310031,0.3846014978174007,pathfollow_fftg001/N128s035a07880g001/x2.npz,0
45,0.789,-0.04315540762282573,0.38431876912877383,pathfollow_fftg001/N128s035a07890g001/x2.npz,0
46,0.79,-0.04321968915107693,0.38404116785771736,pathfollow_fftg001/N128s035a07900g001/x2.npz,0
47,0.791,-0.04328530597563035,0.3837685556031575,pathfollow_fftg001/N128s035a07910g001/x2.npz,0
48,0.792,-0.04335222781311554,0.3835007956333216,pathfollow_fftg001/N128s035a07920g001/x2.npz,0
49,0.793,-0.04342040720842875,0.38323775031042073,pathfollow_fftg001/N128s035a07930g001/x2.npz,0
50,0.794,-0.04348977827215791,0.382979279129148,pathfollow_fftg001/N128s035a07940g001/x2.npz,0
51,0.795,-0.043560255338463784,0.3827252371069104,pathfollow_fftg001/N128s035a07950g001/x2.npz,0
52,0.796,-0.04363173142417696,0.3824754732890352,pathfollow_fftg001/N128s035a07960g001/x2.npz,0
53,0.797,-0.04370407640120458,0.3822298291475788,pathfollow_fftg001/N128s035a07970g001/x2.npz,0
54,0.798,-0.043777134834572504,0.3819881366625804,pathfollow_fftg001/N128s035a07980g001/x2.npz,0
55,0.799,-0.043850723495427,0.38175021588309044,pathfollow_fftg001/N128s035a07990g001/x2.npz,0
56,0.8,-0.043925044223575974,0.3815169870940023,pathfollow_fftg001/N128s035a08000g001/x4.npz,0
0,0.8,-0.043925044223575974,0.3815169870940023,pathfollow_fftg001/N128s035a08000g001/x4.npz,1
1,0.801,-0.04399860334284683,0.38128489015570416,pathfollow_fftg001/N128s035a08010g001/x2.npz,1
2,0.802,-0.04407236514652552,0.38105703342965647,pathfollow_fftg001/N128s035a08020g001/x2.npz,1
3,0.803,-0.04414559493388876,0.3808320343444853,pathfollow_fftg001/N128s035a08030g001/x2.npz,1
4,0.804,-0.044217937979662884,0.38060959102240105,pathfollow_fftg001/N128s035a08040g001/x2.npz,1
